audio_file_path,subject,sex,treatment
/datastar/behavior_rooms/DD/2024-10-22_11-24-44_Wistar_Urgency_group1/pi-data_2024-10-22_11-24-44_Wistar_Urgency_group1/Box11,026,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_11-24-44_Wistar_Urgency_group1/pi-data_2024-10-22_11-24-44_Wistar_Urgency_group1/Box03,030,F,EtOH
/datastar/behavior_rooms/DD/2024-10-22_11-24-44_Wistar_Urgency_group1/pi-data_2024-10-22_11-24-44_Wistar_Urgency_group1/Box12,033,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_11-24-44_Wistar_Urgency_group1/pi-data_2024-10-22_11-24-44_Wistar_Urgency_group1/Box13,036,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_11-24-44_Wistar_Urgency_group1/pi-data_2024-10-22_11-24-44_Wistar_Urgency_group1/Box04,037,F,EtOH
/datastar/behavior_rooms/DD/2024-10-22_11-24-44_Wistar_Urgency_group1/pi-data_2024-10-22_11-24-44_Wistar_Urgency_group1/Box14,040,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_11-24-44_Wistar_Urgency_group1/pi-data_2024-10-22_11-24-44_Wistar_Urgency_group1/box05,043,F,EtOH
/datastar/behavior_rooms/DD/2024-10-22_11-24-44_Wistar_Urgency_group1/pi-data_2024-10-22_11-24-44_Wistar_Urgency_group1/Box15,045,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_11-24-44_Wistar_Urgency_group1/pi-data_2024-10-22_11-24-44_Wistar_Urgency_group1/Box06,055,F,EtOH
/datastar/behavior_rooms/DD/2024-10-22_11-24-44_Wistar_Urgency_group1/pi-data_2024-10-22_11-24-44_Wistar_Urgency_group1/Box16,057,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_11-24-44_Wistar_Urgency_group1/pi-data_2024-10-22_11-24-44_Wistar_Urgency_group1/box01,008,F,Control
/datastar/behavior_rooms/DD/2024-10-22_12-32-08_Wistar_Urgency_group2/pi-data_2024-10-22_12-32-08_Wistar_Urgency_group2/Box10,012,F,Control
/datastar/behavior_rooms/DD/2024-10-22_12-32-08_Wistar_Urgency_group2/pi-data_2024-10-22_12-32-08_Wistar_Urgency_group2/Box11,018,F,EtOH
/datastar/behavior_rooms/DD/2024-10-22_12-32-08_Wistar_Urgency_group2/pi-data_2024-10-22_12-32-08_Wistar_Urgency_group2/Box03,024,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_12-32-08_Wistar_Urgency_group2/pi-data_2024-10-22_12-32-08_Wistar_Urgency_group2/Box12,028,F,EtOH
/datastar/behavior_rooms/DD/2024-10-22_12-32-08_Wistar_Urgency_group2/pi-data_2024-10-22_12-32-08_Wistar_Urgency_group2/Box04,029,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_12-32-08_Wistar_Urgency_group2/pi-data_2024-10-22_12-32-08_Wistar_Urgency_group2/box05,034,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_12-32-08_Wistar_Urgency_group2/pi-data_2024-10-22_12-32-08_Wistar_Urgency_group2/Box13,035,F,EtOH
/datastar/behavior_rooms/DD/2024-10-22_12-32-08_Wistar_Urgency_group2/pi-data_2024-10-22_12-32-08_Wistar_Urgency_group2/Box06,049,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_12-32-08_Wistar_Urgency_group2/pi-data_2024-10-22_12-32-08_Wistar_Urgency_group2/box01,005,M,Control
/datastar/behavior_rooms/DD/2024-10-22_12-32-08_Wistar_Urgency_group2/pi-data_2024-10-22_12-32-08_Wistar_Urgency_group2/Box14,050,F,EtOH
/datastar/behavior_rooms/DD/2024-10-22_12-32-08_Wistar_Urgency_group2/pi-data_2024-10-22_12-32-08_Wistar_Urgency_group2/Box15,051,F,EtOH
/datastar/behavior_rooms/DD/2024-10-22_12-32-08_Wistar_Urgency_group2/pi-data_2024-10-22_12-32-08_Wistar_Urgency_group2/Box08,054,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_12-32-08_Wistar_Urgency_group2/pi-data_2024-10-22_12-32-08_Wistar_Urgency_group2/Box16,058,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_12-32-08_Wistar_Urgency_group2/pi-data_2024-10-22_12-32-08_Wistar_Urgency_group2/Box09,006,F,Control
/datastar/behavior_rooms/DD/2024-10-22_12-32-08_Wistar_Urgency_group2/pi-data_2024-10-22_12-32-08_Wistar_Urgency_group2/Box02,009,M,Control
/datastar/behavior_rooms/DD/2024-10-22_13-55-10_Wistar_Urgency_group3/pi-data_2024-10-22_13-55-10_Wistar_Urgency_group3/Box10,012,F,Control
/datastar/behavior_rooms/DD/2024-10-22_13-55-10_Wistar_Urgency_group3/pi-data_2024-10-22_13-55-10_Wistar_Urgency_group3/Box02,016,F,Control
/datastar/behavior_rooms/DD/2024-10-22_13-55-10_Wistar_Urgency_group3/pi-data_2024-10-22_13-55-10_Wistar_Urgency_group3/Box11,019,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_13-55-10_Wistar_Urgency_group3/pi-data_2024-10-22_13-55-10_Wistar_Urgency_group3/Box12,021,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_13-55-10_Wistar_Urgency_group3/pi-data_2024-10-22_13-55-10_Wistar_Urgency_group3/Box13,022,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_13-55-10_Wistar_Urgency_group3/pi-data_2024-10-22_13-55-10_Wistar_Urgency_group3/Box14,038,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_13-55-10_Wistar_Urgency_group3/pi-data_2024-10-22_13-55-10_Wistar_Urgency_group3/Box04,039,F,EtOH
/datastar/behavior_rooms/DD/2024-10-22_13-55-10_Wistar_Urgency_group3/pi-data_2024-10-22_13-55-10_Wistar_Urgency_group3/box01,004,F,Control
/datastar/behavior_rooms/DD/2024-10-22_13-55-10_Wistar_Urgency_group3/pi-data_2024-10-22_13-55-10_Wistar_Urgency_group3/Box15,044,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_13-55-10_Wistar_Urgency_group3/pi-data_2024-10-22_13-55-10_Wistar_Urgency_group3/box05,046,F,EtOH
/datastar/behavior_rooms/DD/2024-10-22_13-55-10_Wistar_Urgency_group3/pi-data_2024-10-22_13-55-10_Wistar_Urgency_group3/Box06,048,F,EtOH
/datastar/behavior_rooms/DD/2024-10-22_13-55-10_Wistar_Urgency_group3/pi-data_2024-10-22_13-55-10_Wistar_Urgency_group3/Box16,052,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_13-55-10_Wistar_Urgency_group3/pi-data_2024-10-22_13-55-10_Wistar_Urgency_group3/Box09,007,M,Control
/datastar/behavior_rooms/DD/2024-10-22_15-04-11_Wistar_Urgency_group4/pi-data_2024-10-22_15-04-11_Wistar_Urgency_group4/Box10,010,F,Control
/datastar/behavior_rooms/DD/2024-10-22_15-04-11_Wistar_Urgency_group4/pi-data_2024-10-22_15-04-11_Wistar_Urgency_group4/Box02,011,M,Control
/datastar/behavior_rooms/DD/2024-10-22_15-04-11_Wistar_Urgency_group4/pi-data_2024-10-22_15-04-11_Wistar_Urgency_group4/Box11,002,F,Control
/datastar/behavior_rooms/DD/2024-10-22_15-04-11_Wistar_Urgency_group4/pi-data_2024-10-22_15-04-11_Wistar_Urgency_group4/Box12,020,F,EtOH
/datastar/behavior_rooms/DD/2024-10-22_15-04-11_Wistar_Urgency_group4/pi-data_2024-10-22_15-04-11_Wistar_Urgency_group4/Box13,023,F,EtOH
/datastar/behavior_rooms/DD/2024-10-22_15-04-11_Wistar_Urgency_group4/pi-data_2024-10-22_15-04-11_Wistar_Urgency_group4/Box14,025,F,EtOH
/datastar/behavior_rooms/DD/2024-10-22_15-04-11_Wistar_Urgency_group4/pi-data_2024-10-22_15-04-11_Wistar_Urgency_group4/Box15,027,F,EtOH
/datastar/behavior_rooms/DD/2024-10-22_15-04-11_Wistar_Urgency_group4/pi-data_2024-10-22_15-04-11_Wistar_Urgency_group4/box01,003,M,Control
/datastar/behavior_rooms/DD/2024-10-22_15-04-11_Wistar_Urgency_group4/pi-data_2024-10-22_15-04-11_Wistar_Urgency_group4/Box04,031,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_15-04-11_Wistar_Urgency_group4/pi-data_2024-10-22_15-04-11_Wistar_Urgency_group4/Box16,041,F,EtOH
/datastar/behavior_rooms/DD/2024-10-22_15-04-11_Wistar_Urgency_group4/pi-data_2024-10-22_15-04-11_Wistar_Urgency_group4/box05,042,M,EtOH
/datastar/behavior_rooms/DD/2024-10-22_15-04-11_Wistar_Urgency_group4/pi-data_2024-10-22_15-04-11_Wistar_Urgency_group4/Box08,056,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_11-20-38_Wistar_Urgency_group1/pi-data_2024-10-23_11-20-38_Wistar_Urgency_group1/Box10,012,F,Control
/datastar/behavior_rooms/DD/2024-10-23_11-20-38_Wistar_Urgency_group1/pi-data_2024-10-23_11-20-38_Wistar_Urgency_group1/Box11,018,F,EtOH
/datastar/behavior_rooms/DD/2024-10-23_11-20-38_Wistar_Urgency_group1/pi-data_2024-10-23_11-20-38_Wistar_Urgency_group1/Box03,024,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_11-20-38_Wistar_Urgency_group1/pi-data_2024-10-23_11-20-38_Wistar_Urgency_group1/Box12,028,F,EtOH
/datastar/behavior_rooms/DD/2024-10-23_11-20-38_Wistar_Urgency_group1/pi-data_2024-10-23_11-20-38_Wistar_Urgency_group1/Box04,029,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_11-20-38_Wistar_Urgency_group1/pi-data_2024-10-23_11-20-38_Wistar_Urgency_group1/box05,034,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_11-20-38_Wistar_Urgency_group1/pi-data_2024-10-23_11-20-38_Wistar_Urgency_group1/Box13,035,F,EtOH
/datastar/behavior_rooms/DD/2024-10-23_11-20-38_Wistar_Urgency_group1/pi-data_2024-10-23_11-20-38_Wistar_Urgency_group1/Box06,049,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_11-20-38_Wistar_Urgency_group1/pi-data_2024-10-23_11-20-38_Wistar_Urgency_group1/box01,005,M,Control
/datastar/behavior_rooms/DD/2024-10-23_11-20-38_Wistar_Urgency_group1/pi-data_2024-10-23_11-20-38_Wistar_Urgency_group1/Box14,050,F,EtOH
/datastar/behavior_rooms/DD/2024-10-23_11-20-38_Wistar_Urgency_group1/pi-data_2024-10-23_11-20-38_Wistar_Urgency_group1/Box15,051,F,EtOH
/datastar/behavior_rooms/DD/2024-10-23_11-20-38_Wistar_Urgency_group1/pi-data_2024-10-23_11-20-38_Wistar_Urgency_group1/Box08,054,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_11-20-38_Wistar_Urgency_group1/pi-data_2024-10-23_11-20-38_Wistar_Urgency_group1/Box16,058,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_11-20-38_Wistar_Urgency_group1/pi-data_2024-10-23_11-20-38_Wistar_Urgency_group1/Box09,006,F,Control
/datastar/behavior_rooms/DD/2024-10-23_11-20-38_Wistar_Urgency_group1/pi-data_2024-10-23_11-20-38_Wistar_Urgency_group1/Box02,009,M,Control
/datastar/behavior_rooms/DD/2024-10-23_12-32-23_Wistar_Urgency_group2/pi-data_2024-10-23_12-32-23_Wistar_Urgency_group2/Box10,015,M,Control
/datastar/behavior_rooms/DD/2024-10-23_12-32-23_Wistar_Urgency_group2/pi-data_2024-10-23_12-32-23_Wistar_Urgency_group2/Box02,016,F,Control
/datastar/behavior_rooms/DD/2024-10-23_12-32-23_Wistar_Urgency_group2/pi-data_2024-10-23_12-32-23_Wistar_Urgency_group2/Box11,019,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_12-32-23_Wistar_Urgency_group2/pi-data_2024-10-23_12-32-23_Wistar_Urgency_group2/Box12,021,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_12-32-23_Wistar_Urgency_group2/pi-data_2024-10-23_12-32-23_Wistar_Urgency_group2/Box13,022,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_12-32-23_Wistar_Urgency_group2/pi-data_2024-10-23_12-32-23_Wistar_Urgency_group2/Box14,038,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_12-32-23_Wistar_Urgency_group2/pi-data_2024-10-23_12-32-23_Wistar_Urgency_group2/Box04,039,F,EtOH
/datastar/behavior_rooms/DD/2024-10-23_12-32-23_Wistar_Urgency_group2/pi-data_2024-10-23_12-32-23_Wistar_Urgency_group2/box01,004,F,Control
/datastar/behavior_rooms/DD/2024-10-23_12-32-23_Wistar_Urgency_group2/pi-data_2024-10-23_12-32-23_Wistar_Urgency_group2/Box15,044,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_12-32-23_Wistar_Urgency_group2/pi-data_2024-10-23_12-32-23_Wistar_Urgency_group2/box05,046,F,EtOH
/datastar/behavior_rooms/DD/2024-10-23_12-32-23_Wistar_Urgency_group2/pi-data_2024-10-23_12-32-23_Wistar_Urgency_group2/Box06,048,F,EtOH
/datastar/behavior_rooms/DD/2024-10-23_12-32-23_Wistar_Urgency_group2/pi-data_2024-10-23_12-32-23_Wistar_Urgency_group2/Box16,052,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_12-32-23_Wistar_Urgency_group2/pi-data_2024-10-23_12-32-23_Wistar_Urgency_group2/Box09,007,M,Control
/datastar/behavior_rooms/DD/2024-10-23_13-46-56_Wistar_Urgency_group3/pi-data_2024-10-23_13-46-56_Wistar_Urgency_group3/Box10,010,F,Control
/datastar/behavior_rooms/DD/2024-10-23_13-46-56_Wistar_Urgency_group3/pi-data_2024-10-23_13-46-56_Wistar_Urgency_group3/Box02,011,M,Control
/datastar/behavior_rooms/DD/2024-10-23_13-46-56_Wistar_Urgency_group3/pi-data_2024-10-23_13-46-56_Wistar_Urgency_group3/Box11,002,F,Control
/datastar/behavior_rooms/DD/2024-10-23_13-46-56_Wistar_Urgency_group3/pi-data_2024-10-23_13-46-56_Wistar_Urgency_group3/Box12,020,F,EtOH
/datastar/behavior_rooms/DD/2024-10-23_13-46-56_Wistar_Urgency_group3/pi-data_2024-10-23_13-46-56_Wistar_Urgency_group3/Box13,023,F,EtOH
/datastar/behavior_rooms/DD/2024-10-23_13-46-56_Wistar_Urgency_group3/pi-data_2024-10-23_13-46-56_Wistar_Urgency_group3/Box14,025,F,EtOH
/datastar/behavior_rooms/DD/2024-10-23_13-46-56_Wistar_Urgency_group3/pi-data_2024-10-23_13-46-56_Wistar_Urgency_group3/Box15,027,F,EtOH
/datastar/behavior_rooms/DD/2024-10-23_13-46-56_Wistar_Urgency_group3/pi-data_2024-10-23_13-46-56_Wistar_Urgency_group3/box01,003,M,Control
/datastar/behavior_rooms/DD/2024-10-23_13-46-56_Wistar_Urgency_group3/pi-data_2024-10-23_13-46-56_Wistar_Urgency_group3/Box04,031,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_13-46-56_Wistar_Urgency_group3/pi-data_2024-10-23_13-46-56_Wistar_Urgency_group3/Box16,041,F,EtOH
/datastar/behavior_rooms/DD/2024-10-23_13-46-56_Wistar_Urgency_group3/pi-data_2024-10-23_13-46-56_Wistar_Urgency_group3/box05,042,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_13-46-56_Wistar_Urgency_group3/pi-data_2024-10-23_13-46-56_Wistar_Urgency_group3/Box08,056,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_14-52-53_Wistar_Urgency_group4/pi-data_2024-10-23_14-52-53_Wistar_Urgency_group4/Box09,001,M,Control
/datastar/behavior_rooms/DD/2024-10-23_14-52-53_Wistar_Urgency_group4/pi-data_2024-10-23_14-52-53_Wistar_Urgency_group4/Box10,013,M,Control
/datastar/behavior_rooms/DD/2024-10-23_14-52-53_Wistar_Urgency_group4/pi-data_2024-10-23_14-52-53_Wistar_Urgency_group4/Box02,014,F,Control
/datastar/behavior_rooms/DD/2024-10-23_14-52-53_Wistar_Urgency_group4/pi-data_2024-10-23_14-52-53_Wistar_Urgency_group4/Box11,026,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_14-52-53_Wistar_Urgency_group4/pi-data_2024-10-23_14-52-53_Wistar_Urgency_group4/Box03,030,F,EtOH
/datastar/behavior_rooms/DD/2024-10-23_14-52-53_Wistar_Urgency_group4/pi-data_2024-10-23_14-52-53_Wistar_Urgency_group4/Box12,033,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_14-52-53_Wistar_Urgency_group4/pi-data_2024-10-23_14-52-53_Wistar_Urgency_group4/Box13,036,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_14-52-53_Wistar_Urgency_group4/pi-data_2024-10-23_14-52-53_Wistar_Urgency_group4/Box04,037,F,EtOH
/datastar/behavior_rooms/DD/2024-10-23_14-52-53_Wistar_Urgency_group4/pi-data_2024-10-23_14-52-53_Wistar_Urgency_group4/Box14,040,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_14-52-53_Wistar_Urgency_group4/pi-data_2024-10-23_14-52-53_Wistar_Urgency_group4/box05,043,F,EtOH
/datastar/behavior_rooms/DD/2024-10-23_14-52-53_Wistar_Urgency_group4/pi-data_2024-10-23_14-52-53_Wistar_Urgency_group4/Box15,045,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_14-52-53_Wistar_Urgency_group4/pi-data_2024-10-23_14-52-53_Wistar_Urgency_group4/Box06,055,F,EtOH
/datastar/behavior_rooms/DD/2024-10-23_14-52-53_Wistar_Urgency_group4/pi-data_2024-10-23_14-52-53_Wistar_Urgency_group4/Box16,057,M,EtOH
/datastar/behavior_rooms/DD/2024-10-23_14-52-53_Wistar_Urgency_group4/pi-data_2024-10-23_14-52-53_Wistar_Urgency_group4/box01,008,F,Control
/datastar/behavior_rooms/DD/2024-10-24_11-00-40_Wistar_Urgency_group1/pi-data_2024-10-24_11-00-40_Wistar_Urgency_group1/Box10,015,M,Control
/datastar/behavior_rooms/DD/2024-10-24_11-00-40_Wistar_Urgency_group1/pi-data_2024-10-24_11-00-40_Wistar_Urgency_group1/Box02,016,F,Control
/datastar/behavior_rooms/DD/2024-10-24_11-00-40_Wistar_Urgency_group1/pi-data_2024-10-24_11-00-40_Wistar_Urgency_group1/Box11,019,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_11-00-40_Wistar_Urgency_group1/pi-data_2024-10-24_11-00-40_Wistar_Urgency_group1/Box12,021,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_11-00-40_Wistar_Urgency_group1/pi-data_2024-10-24_11-00-40_Wistar_Urgency_group1/Box13,022,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_11-00-40_Wistar_Urgency_group1/pi-data_2024-10-24_11-00-40_Wistar_Urgency_group1/Box14,038,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_11-00-40_Wistar_Urgency_group1/pi-data_2024-10-24_11-00-40_Wistar_Urgency_group1/Box04,039,F,EtOH
/datastar/behavior_rooms/DD/2024-10-24_11-00-40_Wistar_Urgency_group1/pi-data_2024-10-24_11-00-40_Wistar_Urgency_group1/box01,004,F,Control
/datastar/behavior_rooms/DD/2024-10-24_11-00-40_Wistar_Urgency_group1/pi-data_2024-10-24_11-00-40_Wistar_Urgency_group1/Box15,044,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_11-00-40_Wistar_Urgency_group1/pi-data_2024-10-24_11-00-40_Wistar_Urgency_group1/box05,046,F,EtOH
/datastar/behavior_rooms/DD/2024-10-24_11-00-40_Wistar_Urgency_group1/pi-data_2024-10-24_11-00-40_Wistar_Urgency_group1/Box06,048,F,EtOH
/datastar/behavior_rooms/DD/2024-10-24_11-00-40_Wistar_Urgency_group1/pi-data_2024-10-24_11-00-40_Wistar_Urgency_group1/Box16,052,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_11-00-40_Wistar_Urgency_group1/pi-data_2024-10-24_11-00-40_Wistar_Urgency_group1/Box09,007,M,Control
/datastar/behavior_rooms/DD/2024-10-24_12-02-30_Wistar_Urgency_group2/pi-data_2024-10-24_12-02-30_Wistar_Urgency_group2/Box10,010,F,Control
/datastar/behavior_rooms/DD/2024-10-24_12-02-30_Wistar_Urgency_group2/pi-data_2024-10-24_12-02-30_Wistar_Urgency_group2/Box02,011,M,Control
/datastar/behavior_rooms/DD/2024-10-24_12-02-30_Wistar_Urgency_group2/pi-data_2024-10-24_12-02-30_Wistar_Urgency_group2/Box11,002,F,Control
/datastar/behavior_rooms/DD/2024-10-24_12-02-30_Wistar_Urgency_group2/pi-data_2024-10-24_12-02-30_Wistar_Urgency_group2/Box12,020,F,EtOH
/datastar/behavior_rooms/DD/2024-10-24_12-02-30_Wistar_Urgency_group2/pi-data_2024-10-24_12-02-30_Wistar_Urgency_group2/Box13,023,F,EtOH
/datastar/behavior_rooms/DD/2024-10-24_12-02-30_Wistar_Urgency_group2/pi-data_2024-10-24_12-02-30_Wistar_Urgency_group2/Box14,025,F,EtOH
/datastar/behavior_rooms/DD/2024-10-24_12-02-30_Wistar_Urgency_group2/pi-data_2024-10-24_12-02-30_Wistar_Urgency_group2/Box15,027,F,EtOH
/datastar/behavior_rooms/DD/2024-10-24_12-02-30_Wistar_Urgency_group2/pi-data_2024-10-24_12-02-30_Wistar_Urgency_group2/box01,003,M,Control
/datastar/behavior_rooms/DD/2024-10-24_12-02-30_Wistar_Urgency_group2/pi-data_2024-10-24_12-02-30_Wistar_Urgency_group2/Box04,031,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_12-02-30_Wistar_Urgency_group2/pi-data_2024-10-24_12-02-30_Wistar_Urgency_group2/Box16,041,F,EtOH
/datastar/behavior_rooms/DD/2024-10-24_12-02-30_Wistar_Urgency_group2/pi-data_2024-10-24_12-02-30_Wistar_Urgency_group2/box05,042,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_12-02-30_Wistar_Urgency_group2/pi-data_2024-10-24_12-02-30_Wistar_Urgency_group2/Box08,056,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_14-12-35_Wistar_Urgency_group3/pi-data_2024-10-24_14-12-35_Wistar_Urgency_group3/Box09,001,M,Control
/datastar/behavior_rooms/DD/2024-10-24_14-12-35_Wistar_Urgency_group3/pi-data_2024-10-24_14-12-35_Wistar_Urgency_group3/Box10,013,M,Control
/datastar/behavior_rooms/DD/2024-10-24_14-12-35_Wistar_Urgency_group3/pi-data_2024-10-24_14-12-35_Wistar_Urgency_group3/Box02,014,F,Control
/datastar/behavior_rooms/DD/2024-10-24_14-12-35_Wistar_Urgency_group3/pi-data_2024-10-24_14-12-35_Wistar_Urgency_group3/Box11,026,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_14-12-35_Wistar_Urgency_group3/pi-data_2024-10-24_14-12-35_Wistar_Urgency_group3/Box03,030,F,EtOH
/datastar/behavior_rooms/DD/2024-10-24_14-12-35_Wistar_Urgency_group3/pi-data_2024-10-24_14-12-35_Wistar_Urgency_group3/Box12,033,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_14-12-35_Wistar_Urgency_group3/pi-data_2024-10-24_14-12-35_Wistar_Urgency_group3/Box13,036,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_14-12-35_Wistar_Urgency_group3/pi-data_2024-10-24_14-12-35_Wistar_Urgency_group3/Box04,037,F,EtOH
/datastar/behavior_rooms/DD/2024-10-24_14-12-35_Wistar_Urgency_group3/pi-data_2024-10-24_14-12-35_Wistar_Urgency_group3/Box14,040,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_14-12-35_Wistar_Urgency_group3/pi-data_2024-10-24_14-12-35_Wistar_Urgency_group3/box05,043,F,EtOH
/datastar/behavior_rooms/DD/2024-10-24_14-12-35_Wistar_Urgency_group3/pi-data_2024-10-24_14-12-35_Wistar_Urgency_group3/Box15,045,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_14-12-35_Wistar_Urgency_group3/pi-data_2024-10-24_14-12-35_Wistar_Urgency_group3/Box06,055,F,EtOH
/datastar/behavior_rooms/DD/2024-10-24_14-12-35_Wistar_Urgency_group3/pi-data_2024-10-24_14-12-35_Wistar_Urgency_group3/Box16,057,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_14-12-35_Wistar_Urgency_group3/pi-data_2024-10-24_14-12-35_Wistar_Urgency_group3/box01,008,F,Control
/datastar/behavior_rooms/DD/2024-10-24_15-38-31_Wistar_Urgency_group4/pi-data_2024-10-24_15-38-31_Wistar_Urgency_group4/Box10,012,F,Control
/datastar/behavior_rooms/DD/2024-10-24_15-38-31_Wistar_Urgency_group4/pi-data_2024-10-24_15-38-31_Wistar_Urgency_group4/Box11,018,F,EtOH
/datastar/behavior_rooms/DD/2024-10-24_15-38-31_Wistar_Urgency_group4/pi-data_2024-10-24_15-38-31_Wistar_Urgency_group4/Box03,024,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_15-38-31_Wistar_Urgency_group4/pi-data_2024-10-24_15-38-31_Wistar_Urgency_group4/Box12,028,F,EtOH
/datastar/behavior_rooms/DD/2024-10-24_15-38-31_Wistar_Urgency_group4/pi-data_2024-10-24_15-38-31_Wistar_Urgency_group4/Box04,029,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_15-38-31_Wistar_Urgency_group4/pi-data_2024-10-24_15-38-31_Wistar_Urgency_group4/box05,034,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_15-38-31_Wistar_Urgency_group4/pi-data_2024-10-24_15-38-31_Wistar_Urgency_group4/Box13,035,F,EtOH
/datastar/behavior_rooms/DD/2024-10-24_15-38-31_Wistar_Urgency_group4/pi-data_2024-10-24_15-38-31_Wistar_Urgency_group4/Box06,049,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_15-38-31_Wistar_Urgency_group4/pi-data_2024-10-24_15-38-31_Wistar_Urgency_group4/box01,005,M,Control
/datastar/behavior_rooms/DD/2024-10-24_15-38-31_Wistar_Urgency_group4/pi-data_2024-10-24_15-38-31_Wistar_Urgency_group4/Box14,050,F,EtOH
/datastar/behavior_rooms/DD/2024-10-24_15-38-31_Wistar_Urgency_group4/pi-data_2024-10-24_15-38-31_Wistar_Urgency_group4/Box15,051,F,EtOH
/datastar/behavior_rooms/DD/2024-10-24_15-38-31_Wistar_Urgency_group4/pi-data_2024-10-24_15-38-31_Wistar_Urgency_group4/Box08,054,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_15-38-31_Wistar_Urgency_group4/pi-data_2024-10-24_15-38-31_Wistar_Urgency_group4/Box16,058,M,EtOH
/datastar/behavior_rooms/DD/2024-10-24_15-38-31_Wistar_Urgency_group4/pi-data_2024-10-24_15-38-31_Wistar_Urgency_group4/Box09,006,F,Control
/datastar/behavior_rooms/DD/2024-10-24_15-38-31_Wistar_Urgency_group4/pi-data_2024-10-24_15-38-31_Wistar_Urgency_group4/Box02,009,M,Control
/datastar/behavior_rooms/DD/2024-10-25_10-45-02_Wistar_Urgency_group1/pi-data_2024-10-25_10-45-02_Wistar_Urgency_group1/Box10,010,F,Control
/datastar/behavior_rooms/DD/2024-10-25_10-45-02_Wistar_Urgency_group1/pi-data_2024-10-25_10-45-02_Wistar_Urgency_group1/Box02,011,M,Control
/datastar/behavior_rooms/DD/2024-10-25_10-45-02_Wistar_Urgency_group1/pi-data_2024-10-25_10-45-02_Wistar_Urgency_group1/Box11,002,F,Control
/datastar/behavior_rooms/DD/2024-10-25_10-45-02_Wistar_Urgency_group1/pi-data_2024-10-25_10-45-02_Wistar_Urgency_group1/Box12,020,F,EtOH
